;fcitx Version 0x03 Table file
KeyCode='abcdefghijklmnopqrstuvwxyz.,;
Length=4
Pinyin=@
PinyinLength=4
Prompt=&
ConstructPhrase=^
[Rule]
e2=p11+p12+p21+p22
e3=p11+p21+p31+p32
a4=p11+p21+p31+n11
[Data]
'	去
'x	亲
'xu	秦
'x,	琴
'xb	勤
'xh	钦
'xe	沁
'xp	侵
'xue	擒
'xj	芹
'xq	覃
'xx	寝
'xpe	禽
'xo	矜
'xpf	衾
'xjk	芩
'xtd	嗪
'xed	溱
'xt	噙
'xup	揿
'xud	秦
'x,k	琴
'xhp	钦
'xeq	沁
'xjh	芹
'xqg	覃
'xxf	寝
'xte	噙
'c	其
'cy	起
'ca	七
'cl	气
'c'r	期
'c,	齐
'cet	奇
'ct	器
'cab	妻
'cu	旗
'cd	启
'c,j	弃
'c,x	琪
'cm	骑
'cuk	揭
'cp	企
'c,t	琦
'c'	欺
'c,q	戚
'cae	戚
'ce'	汽
'cl.	祁
'co	绮
'ce	柒
'clx	祺
'c.t	崎
'cue	契
'cen	泣
'cmq	栖
'c.	岂
'cg	砌
'cex	淇
'cf	讫
'ci	麒
'c.f	岐
'clk	乞
'ck	歧
'cmh	杞
'cb	婍
'cbt	婍
'ceb	凄
'cr	脐
'c.n	亓
'car	鳍
'cpf	伎
'cyh	圻
'cgp	碛
'cyy	畦
'c;'	迄
'cn	耆
'ch	颀
'cna	亟
'cjg	芪
'c;	蹊
'c'q	綦
'cjn	荠
'cj	蕲
'c.h	屺
'cj.	葺
'cjb	萋
'c'x	其
'cak	七
'c,n	齐
'ctt	器
'cux	旗
'cpk	企
'cot	绮
'cf'	讫
'cix	麒
'ckf	歧
'crn	脐
'chp	颀
'cl	祈
'cm	棋
'ce	漆
'c'	憩
't	请
'te	清
'tq	情
'tu	青
'tc	轻
'tr	晴
'ti	庆
'tl	卿
'tp	倾
'tpr	倩
't'	氢
'tk	箐
'tj	擎
'tx	顷
'tg	磬
't'r	氰
'tgu	罄
'tcr	蜻
'tn	亲
'tfr	请
'ter	清
'tqr	情
'tur	青
'trr	晴
'tie	庆
'tl.	卿
'tpp	倾
't'i	氢
'tkr	箐
'tjg	擎
'txp	顷
'n	强
'nu	抢
'nm	枪
'ny	墙
'nr	腔
'nt	呛
'nf	羌
'nj	蔷
'nhj	锵
'nfi	羟
'nmt	樯
'nli	戕
'n;	跄
'nl	襁
'nic	强
'nuk	抢
'nmk	枪
'nyt	墙
'nri	腔
'ntk	呛
'njt	蔷
'n;k	跄
'nlc	襁
'm	前
'mh	钱
'ml	千
'mep	欠
'mk	签
'me	浅
'meb	牵
'mg	乾
'mer	潜
'm;	迁
'mf	谦
'mpr	倩
'mj	茜
'm;t	遣
'mo'	纤
'md	黔
'mp	仟
'mj'	芊
'm.	嵌
'mx	歉
'mhi	钳
'mf;	谴
'm.'	阡
'mjp	芡
'md,	虔
'mhk	钤
'mc	堑
'mjj	荨
'mu	扦
'mqy	悭
'mo	缱
'mur	掮
'mxe	前
'mhh	钱
'mlg	千
'mka	签
'mg'	乾
'm;'	迁
'mfb	谦
'mjq	茜
'mp'	仟
'm.p	嵌
'mxp	歉
'mcy	堑
'mu'	扦
'mo;	缱
'mh	铅
'mx	骞
'b	桥
'bmn	桥
'bf	乔
'bi	巧
'b,	敲
'br	瞧
'bg	壳
'ba	翘
'bgu	雀
'bp	俏
'bpn	侨
'bx	窍
'bu	撬
'bq	悄
'b;	跷
'bmd	樵
'bir	鞘
'bfd	谯
'bj	荞
'bh	锹
'b.n	峤
'b.	峭
'bm	橇
'bqd	憔
'bfr	诮
'bfn	乔
'bik	巧
'b,f	敲
'brd	瞧
'bgh	壳
'baq	翘
'bpr	俏
'bum	撬
'bqr	悄
'b;,	跷
'bjn	荞
'bhd	锹
'b.r	峭
'bmm	橇
'l	且
'l'	切
'ln	妾
'lp	伽
'lx	窃
'lj	茄
'lq	怯
'lh	锲
'lqh	惬
'lu	挈
'lq.	郄
'ly	趄
'lna	且
'lnb	妾
'lpt	伽
'lxe	窃
'ljt	茄
'lqo	怯
'lhe	锲
'ly'	趄
''	求
'',	球
''d	秋
'''	邱
''p	仇
''e	龟
''h	丘
''l	丘
'''f	裘
''t	囚
''m	糗
''ck	虬
''x	酋
''md	楸
''a	鳅
''ed	湫
'';f	遒
''ep	泅
''c	蚯
''ae	求
'','	球
'''.	邱
''ph	仇
''la	丘
''tp	囚
''m'	糗
''xf	酋
''ad	鳅
'p	全
'pm	权
'pt	圈
'pf	劝
'px	泉
'ph	拳
'pe	犬
'phe	券
'pj,	荃
'pc	蜷
'ph,	铨
'pj	颧
'pf,	诠
'po	绻
'px,	痊
'pp,	全
'pmf	权
'ptk	圈
'pfn	劝
'pee	犬
'pck	蜷
'pjp	颧
'pok	绻
'pf,	醛
'o	穷
'oxn	穷
'o,	琼
'ox	穹
'oi	邛
'oj	茕
'o,q	琼
'oxi	穹
'oi.	邛
'ojg	茕
'y	却
'yu	缺
'yg	确
'ygu	雀
'ym	阙
'yx	瘸
'yj	鹊
'ymy	阕
'ymu	榷
'yd	炔
'yy	埆
'yy.	却
'yui	缺
'ygf	确
'ymp	阙
'yjb	鹊
'ydi	炔
'g	区
'g.	取
'gn	曲
'g.b	娶
'gg	屈
'gy	趣
'gm	驱
'ge	渠
'gy.	趋
'gr	瞿
'gc	蛆
'gl	祛
'ggq	躯
'gcc	衢
'gd	觑
'gk	龋
'gj	苣
'grt	朐
'gc'	蛐
'gm'	阒
'g.q	岖
'gx	癯
'gt	区
'g.f	取
'gna	曲
'gyf	趣
'gru	瞿
'gd.	觑
'gkf	龋
'gjh	苣
'gjc	䓛
'q	恰
'qu	掐
'qq	恰
'qg	卡
'qe	洽
'qi	髂
'qgx	卡
'quh	掐
'qqt	恰
'qet	洽
'qit	髂
'qt	匼
'qtt	匼
'f	群
'fl	裙
'f;	逡
'fff	群
'flt	裙
'f;,	逡
'cee	期待
'cmx	器皿
'mh'	迁就
'cee	沏
'cmx	骐
'mh'	钎
'cj	芑
'cge	碶
'nb	嫱
'nbt	嫱
'l'e	猰
'ob	嬛
'obf	嬛
'glo	袪
'xm	檎
'xme	檎
'xmf	骎
'xhf	锓
'x.	嵚
'xqa	慬
'cjx	萁
'cc	蛴
'ccx	蜞
'ctq	嘁
'cht	锜
'c;t	踦
'cg.	𨙸
'cgt	呇
'ca.	郪
'cjt	䓫
'c;f	跂
'cdm	棨
'cgq	磜
'cax	鲯
'tjt	苘
'tjm	檠
'td	黥
'ta	鲭
'tar	鲭
't,	勍
'tgr	碃
'nd	炝
'ndk	炝
'nc	蜣
'nck	蜣
'nh	镪
'np	戗
'npi	戗
'nhr	锖
'n,	玱
'n,k	玱
'njc	蔃
'mxg	搴
'mcm	椠
'mcq	愆
'mpa	佥
'mq	慊
'm.t	岍
'mr	肷
'mrp	肷
'my'	圲
'mp.	伣
'mjr	蒨
'mgb	磏
'mb	犍
'mb;	犍
'mbh	孅
'bin	鞒
'bpe	劁
'bo	缲
'bom	缲
'bg,	硗
'brr	睄
'bgn	硚
'lxk	癿
''jh	艽
''t'	赇
'''h	犰
''p'	俅
''k	巯
'';	逑
'';'	逑
''i	鞧
''if	鞧
''j	萩
''jd	萩
'';h	鼽
''ht	訄
''db	鹙
'',l	璆
'pa	鬈
'pak	鬈
'py'	畎
'pk	筌
'pk,	筌
'pkh	全栈
'pq	悛
'pq,	悛
'pc,	辁
'pp	佺
'pmk	棬
'p,	瑔
'pag	鳈
'pr	𨟠
'pr.	𨟠
'oic	蛩
'ok	筇
'ok.	筇
'ojn	䓖
'oih	銎
'ygq	悫
'ye	汋
'yyf	埆
'ymr	棤
'yr	𨟠
'yr.	𨟠
'gxn	劬
'gxb	鸲
'gjm	蕖
'gj;	蘧
'gd,	黢
'grm	氍
'ggm	磲
'g,	璩
'gf	诎
'gy'	坥
'gmo	㭕
'g.'	𪨰
'gro	胠
'gnt	竘
'gh	鼩
'geu	灈
'gcf	蠼
'ql	袷
'qlt	袷
'qux	拤
'qj	葜
'qje	葜
'fi	麇
'fid	麇
't	情况
'k	其中
'e	前端
'e	确定
'h	期间
'u	缺乏
'j	其次
',	千万
'm	前面
';	亲自
'i	奇怪
'.	全额
'd	切换
'ae.	亲爱的
'ain	乞哀告怜
'aym	弃暗投明
'xxc	亲笔
'xxu	前半部分
'xx;	千杯不醉
'xje	芹菜
'xjc	钦赐
'xet	钦定
'xer	侵夺
'xem	钦点
'xek	七八点钟
'xel	亲爹
'xe,	穷兵黩武
'xen	气不打一处来
